name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,new_column,total_sales
Cars Mater-National Championship,Wii,2007,Racing,0.46,0.0,0.0,0.04,,6.7,E,Cars Mater-National Championship_Wii_Racing_2007,0.5
Tony Hawk's Underground 2,GBA,2004,Sports,0.35,0.13,0.0,0.01,70.0,,E,Tony Hawk's Underground 2_GBA_Sports_2004,0.49
Super Monkey Ball 3D,3DS,2011,Action,0.26,0.15,0.05,0.04,55.0,5.5,E,Super Monkey Ball 3D_3DS_Action_2011,0.5
Euro Truck Simulator,PC,2008,Simulation,0.0,0.42,0.0,0.07,,7.6,,Euro Truck Simulator_PC_Simulation_2008,0.49
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006,Platform,0.44,0.02,0.0,0.04,57.0,5.6,E,SpongeBob SquarePants: Creature from the Krusty Krab_Wii_Platform_2006,0.5
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,0.0,0.0,0.49,0.0,,,,Dragon Quest Heroes: The World's Tree Woe and the Blight Below_PS3_Action_2015,0.49
F1 2012,X360,2012,Racing,0.1,0.34,0.0,0.05,84.0,6.9,E,F1 2012_X360_Racing_2012,0.49000000000000005
NBA 2K11,Wii,2010,Action,0.46,0.01,0.0,0.03,,,E,NBA 2K11_Wii_Action_2010,0.5
Ice Hockey,2600,1980,Sports,0.46,0.03,0.0,0.01,,,,Ice Hockey_2600_Sports_1980,0.5
Tony Hawk's Project 8,X360,2006,Sports,0.44,0.02,0.0,0.04,81.0,7.6,T,Tony Hawk's Project 8_X360_Sports_2006,0.5
Babysitting Mama,Wii,2010,Simulation,0.33,0.12,0.0,0.04,,,E,Babysitting Mama_Wii_Simulation_2010,0.49
Bleach: Soul Resurreccion,PS3,2011,Fighting,0.27,0.1,0.07,0.05,58.0,7.2,T,Bleach: Soul Resurreccion_PS3_Fighting_2011,0.49
The Matrix: Path of Neo,PS2,2005,Action,0.41,0.01,0.0,0.07,69.0,7.9,T,The Matrix: Path of Neo_PS2_Action_2005,0.49
Dragon Ball Z: Supersonic Warriors 2,DS,2005,Fighting,0.13,0.02,0.32,0.02,66.0,7.6,E10+,Dragon Ball Z: Supersonic Warriors 2_DS_Fighting_2005,0.49
Sonic Lost World,3DS,2013,Platform,0.24,0.14,0.07,0.03,59.0,6.5,E10+,Sonic Lost World_3DS_Platform_2013,0.48
WWE Wrestlemania X8,GC,2002,Fighting,0.38,0.1,0.0,0.01,64.0,6.9,T,WWE Wrestlemania X8_GC_Fighting_2002,0.49
Boogie,Wii,2007,Misc,0.43,0.03,0.0,0.04,57.0,5.3,E10+,Boogie_Wii_Misc_2007,0.49999999999999994
The Price is Right,DS,2008,Misc,0.46,0.0,0.0,0.04,,,E,The Price is Right_DS_Misc_2008,0.5
Power Rangers: Dino Thunder,GBA,2003,Action,0.35,0.13,0.0,0.01,49.0,,E,Power Rangers: Dino Thunder_GBA_Action_2003,0.49
GoldenEye: Rogue Agent,XB,2004,Shooter,0.34,0.13,0.0,0.02,61.0,7.2,T,GoldenEye: Rogue Agent_XB_Shooter_2004,0.49000000000000005
Fire Emblem: Radiant Dawn,Wii,2007,Strategy,0.27,0.03,0.17,0.03,78.0,8.7,E10+,Fire Emblem: Radiant Dawn_Wii_Strategy_2007,0.5000000000000001
The Sims,GC,2003,Simulation,0.35,0.13,0.0,0.01,85.0,7.7,T,The Sims_GC_Simulation_2003,0.49
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,0.2,0.21,0.0,0.08,81.0,7.7,E10+,Plants vs. Zombies: Garden Warfare 2_PS4_Shooter_2016,0.49000000000000005
Grandia III,PS2,2005,Role-Playing,0.12,0.1,0.24,0.03,77.0,8.3,T,Grandia III_PS2_Role-Playing_2005,0.49
Ace Combat: Assault Horizon,X360,2011,Action,0.3,0.12,0.03,0.04,78.0,6.2,T,Ace Combat: Assault Horizon_X360_Action_2011,0.48999999999999994
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,0.0,0.0,0.49,0.0,,,,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus_PS2_Shooter_2006,0.49
Mario & Wario,SNES,1993,Puzzle,0.0,0.0,0.49,0.0,,,,Mario & Wario_SNES_Puzzle_1993,0.49
Scarface: The World is Yours,XB,2006,Action,0.37,0.11,0.0,0.02,76.0,8.4,M,Scarface: The World is Yours_XB_Action_2006,0.5
Resident Evil: The Mercenaries 3D,3DS,2011,Action,0.16,0.16,0.13,0.03,65.0,6.4,M,Resident Evil: The Mercenaries 3D_3DS_Action_2011,0.48
FIFA Soccer 64,N64,1997,Sports,0.16,0.3,0.0,0.03,,,,FIFA Soccer 64_N64_Sports_1997,0.49
Dreamworks Madagascar Kartz,Wii,2009,Racing,0.29,0.15,0.0,0.05,,,E,Dreamworks Madagascar Kartz_Wii_Racing_2009,0.48999999999999994
Star Wars Battlefront: Elite Squadron,DS,2009,Shooter,0.42,0.03,0.0,0.04,61.0,5.0,E10+,Star Wars Battlefront: Elite Squadron_DS_Shooter_2009,0.48999999999999994
Epic Mickey: Power of Illusion,3DS,2012,Action,0.36,0.04,0.04,0.04,,,,Epic Mickey: Power of Illusion_3DS_Action_2012,0.4799999999999999
Kane & Lynch 2: Dog Days,X360,2010,Shooter,0.2,0.22,0.01,0.05,,,,Kane & Lynch 2: Dog Days_X360_Shooter_2010,0.48000000000000004
J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997,Sports,0.0,0.0,0.49,0.0,,,,J-League Pro Soccer Club wo Tsukurou! 2_SAT_Sports_1997,0.49
SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006,Platform,0.45,0.0,0.0,0.04,56.0,7.3,E,SpongeBob SquarePants: Creature from the Krusty Krab_DS_Platform_2006,0.49
Backyard Baseball,PS2,2004,Sports,0.24,0.19,0.0,0.06,,7.2,E,Backyard Baseball_PS2_Sports_2004,0.49
WipEout Pulse,PS2,2009,Racing,0.0,0.15,0.0,0.33,,,,WipEout Pulse_PS2_Racing_2009,0.48
Middle-Earth: Shadow of Mordor,X360,2014,Action,0.28,0.16,0.0,0.04,,4.6,M,Middle-Earth: Shadow of Mordor_X360_Action_2014,0.48000000000000004
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003,Sports,0.24,0.19,0.0,0.06,,6.6,E,Barbie Horse Adventures: Wild Horse Rescue_PS2_Sports_2003,0.49
Pokemon Art Academy ,3DS,2014,Misc,0.18,0.12,0.16,0.03,76.0,7.7,E,Pokemon Art Academy _3DS_Misc_2014,0.49
Taiko no Tatsujin: Appare Sandaime,PS2,2003,Misc,0.0,0.0,0.49,0.0,,,,Taiko no Tatsujin: Appare Sandaime_PS2_Misc_2003,0.49
One Piece: Grand Battle!,PS,2001,Fighting,0.0,0.0,0.46,0.03,,,,One Piece: Grand Battle!_PS_Fighting_2001,0.49
Sonic & All-Stars Racing Transformed,PS3,2012,Racing,0.08,0.3,0.01,0.09,,,,Sonic & All-Stars Racing Transformed_PS3_Racing_2012,0.48
Medal of Honor,PC,2010,Shooter,0.2,0.23,0.0,0.06,72.0,6.4,M,Medal of Honor_PC_Shooter_2010,0.49000000000000005
Asphalt 3D,3DS,2011,Racing,0.27,0.16,0.02,0.04,43.0,4.4,E10+,Asphalt 3D_3DS_Racing_2011,0.49000000000000005
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,0.25,0.01,0.0,0.22,,,,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)_PS2_Shooter_2009",0.48
Crazy Taxi,GC,2001,Racing,0.36,0.09,0.02,0.01,69.0,7.5,T,Crazy Taxi_GC_Racing_2001,0.48
Dragon Ball Z: Burst Limit,X360,2008,Fighting,0.24,0.18,0.03,0.05,72.0,7.6,T,Dragon Ball Z: Burst Limit_X360_Fighting_2008,0.49999999999999994
Spy Hunter 2,PS2,2003,Racing,0.24,0.19,0.0,0.06,57.0,6.4,T,Spy Hunter 2_PS2_Racing_2003,0.49
Pac-Man World 2,XB,2002,Action,0.36,0.11,0.0,0.02,66.0,,E,Pac-Man World 2_XB_Action_2002,0.49
Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,0.27,0.18,0.0,0.03,,,,Die Hard Trilogy 2: Viva Las Vegas_PS_Action_1999,0.48
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001,Misc,0.0,0.0,0.49,0.0,,,,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai_PS2_Misc_2001,0.49
Sniper: Art of Victory,PC,2008,Shooter,0.0,0.45,0.0,0.03,36.0,3.6,M,Sniper: Art of Victory_PC_Shooter_2008,0.48
Tales of Legendia,PS2,2005,Role-Playing,0.07,0.05,0.35,0.02,72.0,7.7,T,Tales of Legendia_PS2_Role-Playing_2005,0.49
SimCity 2000,SNES,1995,Simulation,0.0,0.0,0.49,0.0,,,,SimCity 2000_SNES_Simulation_1995,0.49
FIFA Soccer 09,DS,2008,Sports,0.12,0.31,0.0,0.06,84.0,6.1,E,FIFA Soccer 09_DS_Sports_2008,0.49
Steel Diver,3DS,2011,Action,0.31,0.09,0.05,0.03,58.0,6.3,E10+,Steel Diver_3DS_Action_2011,0.48
Bravely Second: End Layer,3DS,2015,Role-Playing,0.17,0.1,0.18,0.03,81.0,7.4,T,Bravely Second: End Layer_3DS_Role-Playing_2015,0.48
Alone in the Dark,X360,2008,Adventure,0.14,0.3,0.0,0.05,58.0,5.7,M,Alone in the Dark_X360_Adventure_2008,0.49
Football Manager Handheld 2009,PSP,2008,Sports,0.0,0.47,0.0,0.02,,,,Football Manager Handheld 2009_PSP_Sports_2008,0.49
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,0.06,0.07,0.34,0.01,,,,Puzzle & Dragons Z + Super Mario Bros. Edition_3DS_Puzzle_2015,0.48000000000000004
Shrek the Third,PS2,2007,Action,0.4,0.02,0.0,0.07,56.0,6.1,E10+,Shrek the Third_PS2_Action_2007,0.49000000000000005
Madagascar: Operation Penguin,GBA,2005,Action,0.35,0.13,0.0,0.01,,,E,Madagascar: Operation Penguin_GBA_Action_2005,0.49
Need for Speed: Porsche Unleashed,GBA,2004,Racing,0.35,0.13,0.0,0.01,62.0,7.8,E,Need for Speed: Porsche Unleashed_GBA_Racing_2004,0.49
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999,Role-Playing,0.0,0.0,0.45,0.03,,,,Yu-Gi-Oh! Forbidden Memories (JP sales)_PS_Role-Playing_1999,0.48
Far Cry 2,PC,2008,Action,0.01,0.45,0.0,0.03,85.0,5.8,M,Far Cry 2_PC_Action_2008,0.49
NFL Street 2,XB,2004,Sports,0.36,0.11,0.0,0.02,78.0,6.5,E,NFL Street 2_XB_Sports_2004,0.49
Millipede,2600,1983,Shooter,0.45,0.03,0.0,0.01,,,,Millipede_2600_Shooter_1983,0.49
The Legend of the Mystical Ninja,SNES,1991,Adventure,0.0,0.0,0.48,0.0,,,,The Legend of the Mystical Ninja_SNES_Adventure_1991,0.48
Mad Max (2015),XOne,2015,Action,0.28,0.16,0.0,0.04,,,,Mad Max (2015)_XOne_Action_2015,0.48000000000000004
Rock Band Unplugged,PSP,2009,Misc,0.24,0.14,0.0,0.1,79.0,8.6,T,Rock Band Unplugged_PSP_Misc_2009,0.48
Ultimate I Spy,Wii,2008,Adventure,0.45,0.0,0.0,0.03,,,E,Ultimate I Spy_Wii_Adventure_2008,0.48
Jeopardy!,PS2,2003,Misc,0.24,0.18,0.0,0.06,,,,Jeopardy!_PS2_Misc_2003,0.48
Destroy All Humans! 2,PS2,2006,Action,0.4,0.02,0.0,0.07,,,,Destroy All Humans! 2_PS2_Action_2006,0.49000000000000005
Skylanders: SuperChargers,WiiU,2015,Action,0.25,0.19,0.0,0.04,87.0,5.6,E10+,Skylanders: SuperChargers_WiiU_Action_2015,0.48
ECW Hardcore Revolution,PS,1999,Fighting,0.27,0.18,0.0,0.03,,,,ECW Hardcore Revolution_PS_Fighting_1999,0.48
You're in the Movies,X360,2008,Misc,0.27,0.17,0.0,0.05,55.0,5.5,E,You're in the Movies_X360_Misc_2008,0.49000000000000005
Cars 2,X360,2011,Racing,0.28,0.15,0.0,0.05,,,,Cars 2_X360_Racing_2011,0.48000000000000004
Scene It? Lights Camera Action,X360,2007,Misc,0.43,0.01,0.0,0.04,73.0,8.1,T,Scene It? Lights Camera Action_X360_Misc_2007,0.48
MotorStorm: Apocalypse,PS3,2011,Racing,0.21,0.19,0.0,0.08,77.0,7.7,T,MotorStorm: Apocalypse_PS3_Racing_2011,0.48000000000000004
Dark Sector,X360,2008,Shooter,0.22,0.2,0.01,0.05,72.0,7.5,M,Dark Sector_X360_Shooter_2008,0.48000000000000004
Wu-Tang: Shaolin Style,PS,1998,Fighting,0.27,0.18,0.0,0.03,,,,Wu-Tang: Shaolin Style_PS_Fighting_1998,0.48
Tiger Woods PGA Tour 07,X360,2006,Sports,0.44,0.0,0.0,0.04,80.0,7.9,E,Tiger Woods PGA Tour 07_X360_Sports_2006,0.48
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,0.29,0.15,0.0,0.04,80.0,8.1,E10+,Plants vs. Zombies: Garden Warfare 2_XOne_Shooter_2016,0.4799999999999999
Mario Golf: World Tour,3DS,2014,Sports,0.15,0.13,0.17,0.03,78.0,8.2,E,Mario Golf: World Tour_3DS_Sports_2014,0.4800000000000001
Secret Weapons Over Normandy,PS2,2003,Simulation,0.24,0.18,0.0,0.06,81.0,8.2,T,Secret Weapons Over Normandy_PS2_Simulation_2003,0.48
Harvest Moon 64,N64,1999,Simulation,0.25,0.06,0.11,0.06,,,,Harvest Moon 64_N64_Simulation_1999,0.48
All-Star Baseball 99,N64,1998,Sports,0.44,0.04,0.0,0.0,,,,All-Star Baseball 99_N64_Sports_1998,0.48
NCAA Football 09,PS2,2008,Sports,0.4,0.02,0.0,0.07,,,E,NCAA Football 09_PS2_Sports_2008,0.49000000000000005
Bratz: The Movie,PS2,2007,Simulation,0.24,0.18,0.0,0.06,,5.0,E,Bratz: The Movie_PS2_Simulation_2007,0.48
Crash of the Titans,DS,2007,Action,0.42,0.02,0.0,0.04,73.0,5.9,E,Crash of the Titans_DS_Action_2007,0.48
Dragon Ball: XenoVerse,PS3,2015,Fighting,0.16,0.13,0.14,0.06,,7.1,T,Dragon Ball: XenoVerse_PS3_Fighting_2015,0.49000000000000005
Rayman Raving Rabbids: TV Party,DS,2008,Misc,0.44,0.01,0.0,0.04,,,E10+,Rayman Raving Rabbids: TV Party_DS_Misc_2008,0.49
Lollipop Chainsaw,X360,2012,Action,0.31,0.12,0.02,0.04,70.0,7.0,M,Lollipop Chainsaw_X360_Action_2012,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009,Shooter,0.24,0.19,0.0,0.05,,,,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)_Wii_Shooter_2009",0.48
Vigilante 8: 2nd Offense,PS,1999,Racing,0.27,0.18,0.0,0.03,,,,Vigilante 8: 2nd Offense_PS_Racing_1999,0.48
The Saboteur,PS3,2009,Action,0.2,0.21,0.0,0.07,72.0,8.1,M,The Saboteur_PS3_Action_2009,0.48000000000000004
Metal Gear Rising: Revengeance,X360,2013,Action,0.3,0.14,0.0,0.04,82.0,7.8,M,Metal Gear Rising: Revengeance_X360_Action_2013,0.48
Atelier Rorona: Alchemist of Arland,PS3,2009,Role-Playing,0.22,0.1,0.11,0.05,,,,Atelier Rorona: Alchemist of Arland_PS3_Role-Playing_2009,0.48
Theme Park Roller Coaster,PS2,2000,Strategy,0.23,0.18,0.0,0.06,82.0,7.9,E,Theme Park Roller Coaster_PS2_Strategy_2000,0.47000000000000003
Bass Pro Shops: The Strike,Wii,2009,Sports,0.44,0.0,0.0,0.03,,7.6,E,Bass Pro Shops: The Strike_Wii_Sports_2009,0.47
Bakugan Battle Brawlers: Defenders of the Core,DS,2010,Action,0.41,0.02,0.02,0.03,,,E10+,Bakugan Battle Brawlers: Defenders of the Core_DS_Action_2010,0.48
NFL Xtreme 2,PS,1999,Sports,0.27,0.18,0.0,0.03,,,,NFL Xtreme 2_PS_Sports_1999,0.48
Major League Baseball 2K13,X360,2013,Sports,0.44,0.0,0.0,0.04,,,,Major League Baseball 2K13_X360_Sports_2013,0.48
Scrabble 2007 Edition,DS,2007,Puzzle,0.0,0.47,0.0,0.0,,,,Scrabble 2007 Edition_DS_Puzzle_2007,0.47
NHL 16,XOne,2015,Sports,0.38,0.05,0.0,0.05,80.0,6.0,E10+,NHL 16_XOne_Sports_2015,0.48
Midnight Club: Street Racing,GBA,2001,Racing,0.34,0.13,0.0,0.01,50.0,5.3,E,Midnight Club: Street Racing_GBA_Racing_2001,0.48000000000000004
Tiger Woods PGA Tour 06,XB,2005,Sports,0.35,0.11,0.0,0.02,81.0,5.1,E,Tiger Woods PGA Tour 06_XB_Sports_2005,0.48
Fortune Street,Wii,2011,Misc,0.25,0.03,0.17,0.02,68.0,7.5,E,Fortune Street_Wii_Misc_2011,0.4700000000000001
FIFA World Cup Germany 2006,X360,2006,Sports,0.19,0.27,0.01,0.0,72.0,6.6,E,FIFA World Cup Germany 2006_X360_Sports_2006,0.47000000000000003
Up,PS2,2009,Action,0.19,0.05,0.0,0.24,,,E,Up_PS2_Action_2009,0.48
Grand Prix,2600,1981,Racing,0.45,0.03,0.0,0.0,,,,Grand Prix_2600_Racing_1981,0.48
Jake Power: Fireman,DS,2008,Adventure,0.08,0.35,0.0,0.05,,,E,Jake Power: Fireman_DS_Adventure_2008,0.48
World of Outlaws: Sprint Cars 2002,PS2,2002,Racing,0.23,0.18,0.0,0.06,80.0,9.1,E,World of Outlaws: Sprint Cars 2002_PS2_Racing_2002,0.47000000000000003
Children of Mana,DS,2006,Role-Playing,0.16,0.01,0.29,0.01,65.0,6.0,E10+,Children of Mana_DS_Role-Playing_2006,0.47
Fantavision,PS2,2000,Puzzle,0.14,0.11,0.19,0.04,72.0,6.3,E,Fantavision_PS2_Puzzle_2000,0.48
Double Dragon,2600,1989,Action,0.45,0.02,0.0,0.01,,,,Double Dragon_2600_Action_1989,0.48000000000000004
Alien Trilogy,PS,1996,Shooter,0.24,0.16,0.04,0.03,,,,Alien Trilogy_PS_Shooter_1996,0.47
NBA Live 99,N64,1998,Sports,0.45,0.02,0.0,0.0,,,,NBA Live 99_N64_Sports_1998,0.47000000000000003
X-Men: Next Dimension,PS2,2002,Fighting,0.23,0.18,0.0,0.06,61.0,8.7,T,X-Men: Next Dimension_PS2_Fighting_2002,0.47000000000000003
Go Diego Go! Great Dinosaur Rescue,DS,2008,Action,0.43,0.01,0.0,0.03,,,,Go Diego Go! Great Dinosaur Rescue_DS_Action_2008,0.47
The Godfather (JP sales),PS2,2006,Action,0.39,0.02,0.0,0.06,,,,The Godfather (JP sales)_PS2_Action_2006,0.47000000000000003
Dynasty Warriors Gundam,PS3,2007,Action,0.14,0.01,0.31,0.02,60.0,6.9,T,Dynasty Warriors Gundam_PS3_Action_2007,0.48000000000000004
Doom 3 BFG Edition,X360,2012,Shooter,0.28,0.15,0.0,0.04,67.0,6.5,M,Doom 3 BFG Edition_X360_Shooter_2012,0.47000000000000003
Alice in Wonderland,DS,2010,Adventure,0.25,0.17,0.0,0.04,78.0,,E10+,Alice in Wonderland_DS_Adventure_2010,0.46
Spider-Man 3,Wii,2007,Platform,0.42,0.02,0.0,0.04,53.0,5.3,T,Spider-Man 3_Wii_Platform_2007,0.48
Super Puyo Puyo 2,SNES,1995,Puzzle,0.0,0.0,0.47,0.0,,,,Super Puyo Puyo 2_SNES_Puzzle_1995,0.47
Rock Band 4,XOne,2015,Misc,0.38,0.04,0.0,0.05,79.0,6.4,T,Rock Band 4_XOne_Misc_2015,0.47
Gauntlet Legends,PS,2000,Action,0.26,0.18,0.0,0.03,,,,Gauntlet Legends_PS_Action_2000,0.47
James Bond 007: Blood Stone,X360,2010,Shooter,0.2,0.23,0.0,0.05,62.0,7.1,T,James Bond 007: Blood Stone_X360_Shooter_2010,0.48000000000000004
WipEout,PS,1995,Action,0.26,0.18,0.0,0.03,,,,WipEout_PS_Action_1995,0.47
Street Fighter X Tekken,X360,2012,Fighting,0.31,0.1,0.03,0.04,83.0,4.4,T,Street Fighter X Tekken_X360_Fighting_2012,0.48000000000000004
Dark Sector,PS3,2008,Shooter,0.23,0.16,0.01,0.07,72.0,7.6,M,Dark Sector_PS3_Shooter_2008,0.47000000000000003
ICO,PS2,2001,Action,0.23,0.18,0.0,0.06,90.0,8.8,T,ICO_PS2_Action_2001,0.47000000000000003
World of Warcraft: Warlords of Draenor,PC,2014,Action,0.08,0.36,0.0,0.03,87.0,5.9,T,World of Warcraft: Warlords of Draenor_PC_Action_2014,0.47
Ford Racing Off Road,Wii,2008,Racing,0.06,0.39,0.0,0.01,37.0,6.3,E,Ford Racing Off Road_Wii_Racing_2008,0.46
Cars: Race-O-Rama,DS,2009,Racing,0.35,0.08,0.0,0.04,,,E,Cars: Race-O-Rama_DS_Racing_2009,0.47
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,0.0,0.0,0.47,0.0,,,,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III_Wii_Role-Playing_2011,0.47
Unreal Tournament III,X360,2008,Shooter,0.25,0.17,0.01,0.05,82.0,7.6,M,Unreal Tournament III_X360_Shooter_2008,0.48000000000000004
FIFA Soccer 13,WiiU,2012,Action,0.17,0.27,0.0,0.04,69.0,6.2,E,FIFA Soccer 13_WiiU_Action_2012,0.48000000000000004
Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,0.05,0.04,0.38,0.01,75.0,8.0,T,Victorious Boxers: Ippo's Road to Glory_PS2_Fighting_2000,0.48
Densetsu no Stafi,GBA,2002,Platform,0.0,0.0,0.46,0.01,,,,Densetsu no Stafi_GBA_Platform_2002,0.47000000000000003
Valkyrie Profile 2: Silmeria,PS2,2006,Role-Playing,0.04,0.03,0.39,0.01,84.0,9.0,T,Valkyrie Profile 2: Silmeria_PS2_Role-Playing_2006,0.47000000000000003
Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,0.41,0.03,0.0,0.04,82.0,8.8,E10+,Pinball Hall of Fame: The Williams Collection_Wii_Misc_2008,0.4799999999999999
Hot Wheels Velocity X,PS2,2002,Racing,0.23,0.18,0.0,0.06,54.0,7.1,E,Hot Wheels Velocity X_PS2_Racing_2002,0.47000000000000003
MySims Racing,Wii,2009,Racing,0.19,0.23,0.0,0.05,68.0,7.4,E,MySims Racing_Wii_Racing_2009,0.47000000000000003
Clash of Elementalists,DS,2010,Action,0.0,0.0,0.47,0.0,34.0,,T,Clash of Elementalists_DS_Action_2010,0.47
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,0.19,0.2,0.01,0.08,79.0,7.9,M,F.E.A.R. 2: Project Origin_PS3_Shooter_2009,0.48000000000000004
The Sims 2: Pets,Wii,2007,Simulation,0.41,0.02,0.0,0.04,65.0,7.3,T,The Sims 2: Pets_Wii_Simulation_2007,0.47
L.A. Rush,PS2,2005,Racing,0.23,0.18,0.0,0.06,58.0,8.0,T,L.A. Rush_PS2_Racing_2005,0.47000000000000003
Momotarou Dentetsu V,PS,1999,Misc,0.0,0.0,0.44,0.03,,,,Momotarou Dentetsu V_PS_Misc_1999,0.47
Doom 64,N64,1997,Shooter,0.38,0.08,0.0,0.01,,,,Doom 64_N64_Shooter_1997,0.47000000000000003
Bomberman Hero,N64,1998,Platform,0.27,0.06,0.08,0.05,,,,Bomberman Hero_N64_Platform_1998,0.46
Automobili Lamborghini,N64,1997,Racing,0.28,0.17,0.0,0.01,,,,Automobili Lamborghini_N64_Racing_1997,0.4600000000000001
Quest 64,N64,1998,Role-Playing,0.38,0.08,0.0,0.01,,,,Quest 64_N64_Role-Playing_1998,0.47000000000000003
Crash: Mind Over Mutant,X360,2008,Platform,0.22,0.2,0.0,0.05,60.0,6.5,E10+,Crash: Mind Over Mutant_X360_Platform_2008,0.47000000000000003
Viva Pinata: Trouble in Paradise,X360,2008,Simulation,0.16,0.25,0.01,0.05,82.0,7.9,E,Viva Pinata: Trouble in Paradise_X360_Simulation_2008,0.47000000000000003
Epic Mickey 2: The Power of Two,PS3,2012,Action,0.21,0.18,0.0,0.08,59.0,4.3,E,Epic Mickey 2: The Power of Two_PS3_Action_2012,0.47000000000000003
Commando,2600,1987,Action,0.44,0.02,0.0,0.0,,,,Commando_2600_Action_1987,0.46
NBA Ballers: Phenom,PS2,2006,Sports,0.23,0.18,0.0,0.06,69.0,8.5,E,NBA Ballers: Phenom_PS2_Sports_2006,0.47000000000000003
Dragon Age Origins: Awakening,X360,2010,Role-Playing,0.33,0.1,0.0,0.04,,,,Dragon Age Origins: Awakening_X360_Role-Playing_2010,0.47000000000000003
Need for Speed Carbon,XB,2006,Racing,0.35,0.1,0.0,0.02,74.0,7.4,E10+,Need for Speed Carbon_XB_Racing_2006,0.47
Shadowrun,X360,2007,Role-Playing,0.41,0.02,0.0,0.04,66.0,7.5,M,Shadowrun_X360_Role-Playing_2007,0.47
Crazy Taxi: Fare Wars,PSP,2007,Racing,0.1,0.22,0.02,0.12,64.0,7.1,E10+,Crazy Taxi: Fare Wars_PSP_Racing_2007,0.46
MTV Music Generator,PS,1999,Misc,0.26,0.18,0.0,0.03,,,,MTV Music Generator_PS_Misc_1999,0.47
"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,0.0,0.45,0.0,0.02,85.0,8.1,M,"Warhammer 40,000: Dawn of War II_PC_Strategy_2009",0.47000000000000003
Hamsterz Life,DS,2006,Action,0.43,0.01,0.0,0.04,,9.0,E,Hamsterz Life_DS_Action_2006,0.48
Emergency Heroes,Wii,2008,Racing,0.14,0.27,0.0,0.05,41.0,4.2,E10+,Emergency Heroes_Wii_Racing_2008,0.46
Super Momotarou Dentetsu DX,SNES,1995,Misc,0.0,0.0,0.47,0.0,,,,Super Momotarou Dentetsu DX_SNES_Misc_1995,0.47
FlingSmash,Wii,2010,Action,0.37,0.01,0.07,0.02,48.0,6.8,E,FlingSmash_Wii_Action_2010,0.47000000000000003
World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Sports,0.0,0.0,0.47,0.0,,,,World Soccer Winning Eleven 8: Liveware Evolution_PS2_Sports_2005,0.47
Cars: Race-O-Rama,PS2,2009,Racing,0.27,0.03,0.0,0.17,,,E,Cars: Race-O-Rama_PS2_Racing_2009,0.4700000000000001
Downhill Domination,PS2,2003,Racing,0.23,0.18,0.0,0.06,79.0,8.9,T,Downhill Domination_PS2_Racing_2003,0.47000000000000003
Dead Space Extraction,Wii,2009,Shooter,0.32,0.1,0.01,0.04,82.0,8.1,M,Dead Space Extraction_Wii_Shooter_2009,0.47000000000000003
Pirates of the Caribbean: Dead Man's Chest,GBA,2006,Adventure,0.33,0.12,0.0,0.01,70.0,5.6,E10+,Pirates of the Caribbean: Dead Man's Chest_GBA_Adventure_2006,0.46
Silent Hill: Shattered Memories,Wii,2009,Action,0.22,0.19,0.01,0.05,79.0,8.0,M,Silent Hill: Shattered Memories_Wii_Action_2009,0.47000000000000003
Active Life: Extreme Challenge,Wii,2009,Sports,0.14,0.27,0.0,0.06,56.0,,E,Active Life: Extreme Challenge_Wii_Sports_2009,0.47000000000000003
FIFA 12,PC,2011,Sports,0.04,0.33,0.0,0.1,,,,FIFA 12_PC_Sports_2011,0.47
Spider-Man: Friend or Foe,DS,2007,Action,0.43,0.0,0.0,0.04,55.0,,E10+,Spider-Man: Friend or Foe_DS_Action_2007,0.47
